"","Word_Malagasy"
"1","H"
"2","0"
"3","FIA"
"4","fia VARILAVA"
"5","ND"
"6","JARIFY"
"7","F"
"8","LOMOTSE"
"9","HORITA"
"10","GOGO"
"11","BOZIKE"
"12","VARILAVA"
"13","LAMERA"
"14","TOHO"
"15","SAPIATA"
"16","JOGINY"
"17","TSITSIKE"
"18","BEJA"
"19","JOKO"
"20","ANGISY"
"21","VAREVEK"
"22","FAY RARA"
"23","FIIA TOHO"
"24","FIA TSONTSO"
"25","FIA "
"26","FELA"
"27","FIA FITSE"
"28","FITSE"
"29","DRAGON"
"30","ZANGA"
"31","DORILISY"
"32","ZAGO"
"33","KABO"
"34","ZOMALY "
"35","zanga BENONO"
"36","BENONO"
"37","ZANGA FOTITSETSAKE"
"38","ZANGA FOTY"
"39","DOROLISY"
"40","LANILAY"
"41","LANGOUSTA"
"42","FIA BODOLOHA"
"43","FAY"
"44","ZANGA TRONKENA"
"45","ZANGA PITIKE"
"46","TSONTSO"
"47","SOROBOA"
"48","BETAMPY"
"49","LAMATSA"
"50","LOVO"
"51","LAFO"
"52","TAKALO"
"53","LANORA"
"54","VOTSANJA"
"55","SORONALY"
"56","TAMBOKY"
"57","ANTSERAKE"
"58","FIA KIMBOROKE"
"59","LOVOHARA"
"60","BODOLOHA"
"61","FIA ANGY"
"62","SARIGEBA"
"63","MOROY"
"64","LANILANY"
"65","VARAVARA"
"66","AMBARIAKE"
"67","FIANTSOFA"
"68","AMATO"
"69","TSABEAKE"
"70","SORONALE"
"71","FIA MAINTY"
"72","ANGY"
"73","A"
"74","L"
"75","Z"
"76","H.F"
"77","A "
"78",""
"79","B"
"80","b"
"81","FIA BANA"
"82","F.tsabeaky"
"83","F.voramasaky"
"84","Kapilany"
"85","F.be"
"86","F.mainty"
"87","F.maliniky"
"88","F.tsiameareny"
"89","F.aloalo"
"90","F.Tsifa"
"91","F.soroboa"
"92","F.gogo"
"93","F.tsoy"
"94","F.bodoloha"
"95","F.foty"
"96","Boziky"
"97","F.lanora"
"98","fay"
"99","H.nakora"
"100","F.savisavy"
"101","H "
"102","H  "
"103","F.tabake"
"104","F.voramasake"
"105","F.tsifa"
"106","f.lovo"
"107","Drakake"
"108","F.valala"
"109","F.lamatra"
"110","F.angy"
"111","F,foty"
"112","H nakora"
"113","zanga zomaly"
"114","Beja"
"115","F.tsameareny"
"116","F.sapiata"
"117","Zanga benono"
"118","F.bondro"
"119","Lamera"
"120","Fay"
"121","F.lovohara"
"122","Tsiysike"
"123","F.lovo"
"124","Zanga dorlisy"
"125","Bboziky/joka"
"126","F.kinirike"
"127","F.aloalo kely"
"128","F.aloalo be"
"129","F.kely terake"
"130","Tsitsike"
"131","H/soroboa"
"132","F.aloalo  "
"133","F.tsoymalinike"
"134","F.fotihohy"
"135","F "
"136","zanga   "
"137","E"
"138","F.tsoy "
"139","F.llanora"
"140","F.lovo "
"141","Bindra/horita"
"142","Liva/horita"
"143","Fay sify"
"144","F.kapiteny"
"145","Takalo"
"146","F.kabo"
"147","Morosy"
"148","F.lanilany"
"149","F.anterake"
"150","f.foty"
"151","Zanga zomaly"
"152","F.Mainte"
"153","F.Babake"
"154","F.Votso"
"155","Fay  "
"156","F.Bondro"
"157","H.Nakora"
"158","F.Tsabeake"
"159","F.Voramasake"
"160","F.Tsoraby"
"161","F.Amporama"
"162","F.Tsirimpaosa"
"163","F.Menasofy"
"164","F.Tsoy"
"165","F.Fitse"
"166","F.Tabake"
"167","F.Tsokahitse"
"168","F.Kifalaotse"
"169","F.Ampoza"
"170","F.Savesave"
"171","F.Bodoloha"
"172","F.Tsara"
"173","F.Fotihohy"
"174","F.Antsisy"
"175","F.Mahaloky"
"176","H.Nakorra"
"177","F.Abitsy"
"178","F.Toho"
"179","F.Mena"
"180","f.Tsirimpaosa"
"181","F.Apoza"
"182","F.Amboroy"
"183","F.Votosaka"
"184","F.Varevike"
"185","F.Tapaporoha"
"186","F.Gogo"
"187","F.Lafo"
"188","F.Varavara"
"189","F.Lamatsa"
"190","F.Joginy"
"191","F.Mpivondrake"
"192","H Nakora"
"193","Bozike"
"194","F.Soronale"
"195","F.bemaso"
"196","F.Malily"
"197","L "
"198","F.Mena "
"199","F.Ambitsy"
"200","F.Ambory"
"201","F.Angelike"
"202","F.Lanora"
"203","F.Kapoake"
"204","F.Angerera"
"205","F.A.Angy"
"206","F.Tsoy Antsisy"
"207","F.Lavanify"
"208","F.Molonto"
"209","F.Ambariake"
"210","F.varivike"
"211","F.Taratake"
"212","F.Leme"
"213","F.Valala"
"214","F.votsandra"
"215","Fay rara"
"216","Bozike Joka"
"217","f.tsiamearene"
"218","F.Rara"
"219","F.Lovohara"
"220","f.Bemaso"
"221","F.Dabandriake"
"222","F.Tsobariake"
"223","F.Lamatra"
"224","F.tsamearene"
"225","F.Mantafao"
"226","F.Tririmpaosa"
"227","F.TALANTARA"
"228","F.TsoyMalinike"
"229","F.Aloalo"
"230","F.anak'ampoza"
"231","F.MENA BEMASO"
"232","F.Aterake"
"233","Zanga Dorilisy"
"234","F.Mandrendre"
"235","F.TsoyMaliniky"
"236","F.Mandredre"
"237","Bozike Jonka"
"238","F.Mangerelavenoke"
"239","F.Bemaso Mena"
"240","F.Tsoy malinike"
"241","F.Baboke"
"242","Fay Rara"
"243","f.votsandra"
"244","Zanga Benono"
"245","Fay Sify"
"246","F.Moroy"
"247","F.Ampase"
"248","fF.Ongike"
"249","Fay Foty"
"250","F.Tsoy rotse"
"251","F.vontso"
"252","F.Mena  "
"253","F.Ambatsoy"
"254","F.Vorramasake"
"255","f.v0ramasake"
"256","F.Tsaramatseroke"
"257","F.Ambitsozo"
"258","F.varevike"
"259","f.Bodoloha"
"260","F.Amongo"
"261","Boz ike"
"262","f.tsoy  "
"263","f.Angerera"
"264","F.Kabo"
"265","F.Tsabeaky"
"266","F,Tsoraby"
"267","F.Tsamearene"
"268","Fay Andema"
"269","F.Votsandra"
"270","Zanga Foty"
"271","F.BOdoloha"
"272","F.Tona"
"273","Zanga Tsokena"
"274","Zanga Zomaly"
"275","F,Tsifa"
"276","Zangambato"
"277","bokahi"
"278","F.tsabeake"
"279","F.mainte"
"280","voramasake"
"281","F.joginy"
"282","F.maite"
"283","F.fitse"
"284","F.tsipa"
"285","lamatra"
"286","F.mena"
"287","F.lovo sara"
"288","F.tsifaH"
"289","F.tsokahitse"
"290","F.toho"
"291","F.tsara"
"292","F.tsoraby"
"293","F.antsisy"
"294","F..savesave"
"295","F.savesave"
"296","F.lovoho"
"297","f.toho"
"298","F.areloha"
"299","F.mainte "
"300","F.lavanify"
"301","F.sakavoto"
"302","F.tabike"
"303","F.leontine"
"304","F.antisy"
"305","F.angelike"
"306","F.tsikahitse"
"307","F.menasofy"
"308","F.baboke"
"309","F.tsirimpaosa"
"310","M.malily"
"311","F.rara"
"312","F.fsifa"
"313","F.taramatse"
"314","F.voramadake"
"315","F.timatipaosa"
"316","F.tapaporoha"
"317","F.andrarame"
"318","F.lovonakanga"
"319","F.savesae"
"320","F.mante"
"321","F;savesave"
"322","F;bodoloha"
"323","F.amporama"
"324","F.tsfa"
"325","F.ongike"
"326","F.tsokahita"
"327","F.antssy"
"328","Angisy dolo"
"329","Fmainte"
"330","n"
"331","F.tsokahite"
"332","G"
"333","h"
"334","f"
"335","a"
"336","BOZIKE MENA"
"337","F.FOTIHOHY"
"338","H.NAKORA"
"339","F.TSARA"
"340","F.TABAKE"
"341","F.TOHO"
"342","F.TSIFA"
"343","BOZIKE JONKA"
"344","F.TSIAMBOLOMASO"
"345","F.MENASOFY"
"346","F.AMBORY"
"347","F.TSONTSO"
"348","F.SAVESAVE"
"349","F.BODOLOHA"
"350","ANGISIM-BATO"
"351","F.TSOY MALINIKE"
"352","F.AMBITSY"
"353","F.LANORA"
"354","F.TSOY "
"355","F.VORAMASAKE"
"356","F.VAREVIKE"
"357","F.TSOY"
"358","F.LANILANY"
"359","LAMERAN-KENA"
"360","LAMERA TANAMPANO"
"361","LANGOSTE"
"362","F.MBONDRO"
"363","HORITA "
"364","F.AMBARIAKE"
"365","F.AMPOZA"
"366","BOZIKE "
"367","F.SORONALE"
"368","F.JOGINY"
"369","F.TSIRIMPAQSA"
"370","F.MOLONTO"
"371","F.DABANDRIAKE"
"372","F.TSIRIMPAOSA"
"373","F.NAOMBE"
"374","HORILE"
"375","Z.JOMALY"
"376","F.MANDRENDRE"
"377","H.NAOMBE"
"378","F.TONA"
"379","HORIA"
"380","F.ANTSISY"
"381","F2"
"382","F3"
"383","lamera"
"384","Gogo"
"385","F1"
"386","f.valala"
"387","Mamilaotse"
"388","bozike"
"389","vary lary"
"390","benono"
"391","Naholok"
"392","tabaky"
"393","gogo"
"394","sapiata"
"395","sampiata"
"396","Varilava"
"397","tsitsike"
"398","drakake"
"399","fay rara"
"400","mabolotsetaly"
"401","gamo"
"402","F.antseraky"
"403","geba"
"404","F.mandreandovoke"
"405","F.boloha"
"406","F.savesavy"
"407","zanga"
"408","dakake"
"409","dorilisy"
"410","H.nakoho"
"411","H nakoho"
"412","F;be"
"413","zanga dorolisy"
"414","F.kapitene"
"415","F.ambariake"
"416","F.tsiripaosa"
"417","zanga benono"
"418",""
"419","ZANGA"
"420","ZANGA "
"421","LAMERA"
"422","ZANGA 1"
"423","ZANGA 4"
"424","BOZIKE"
"425","GOGO"
"426","TSITSIKE"
"427","FIA"
"428","HORITA"
"429","FIAMPOTY"
"430","LEJALEJA"
"431","T SITSIKE"
"432","ANGISY"
"433","zanga BENONO"
"434","BEJA"
"435","ZANGA DORILISY"
"436","FAY RARA"
"437","ZOMALY"
"438","MOROY"
"439","FAY"
"440","ZANGA JOGINY"
"441","ZOMALY "
"442","DORILISY"
"443","SOROB OA"
"444","FELA"
"445","TSONTSO"
"446","DRAGON"
"447","HOVOHOVO"
"448","ZANGA FOTY"
"449","TOHO"
"450","ZANGA FALALIJAKY"
"451","KABOKE"
"452","HEBOTSE"
"453","BENONO"
"454","FIA TSONTSO"
"455","ZANGA TRONKENA"
"456","TRONKENA"
"457","LANILANY"
"458","LANGOUSTA"
"459","FALALIJAKY"
"460","BODOLOHA"
"461","DOROLISY"
"462","TABOKINA"
"463","FIANTSIFA"
"464","JONKA"
"465","TAKALO"
"466","SOROBOA"
"467","NJONKA"
"468","BETAMPE"
"469","ANTSIVA"
"470","LIVA"
"471","ANTSERAKE"
"472","TONA"
"473","SOKY"
"474","LAMATSA"
"475","HIMA"
"476","LANORA"
"477","LAFO"
"478","ANJARAME"
"479","KABOKABOKE"
"480","AKORA"
"481","KAMBO"
"482","HAMBY"
"483","LOVOHARA"
"484","ZANGA FOTITSETSAKE"
"485","ZANGA BENONO"
"486","TAMBOKINY"
"487","ZANGA TSONKENA"
"488","AMBORAMASAKY"
"489","VOTSANJA"
"490","SORONALE"
"491","BOTANA"
"492","SOROBOAE"
"493","FITSATSAKE"
"494","AMPORAMA"
"495","KINIRIKE"
"496","TSONKENA"
"497","KOKIAZY"
"498","FIA MPILEVE"
"499","FAY TATAMA"
"500","MATAFAO"
"501","LEME"
"502","AMBATSOY"
"503","MANTAFAO"
"504","MANDRENDRE"
"505","TSORABY"
"506","TSOY"
"507","FOTITSETSAKE"
"508","110"
"509","2"
"510","1"
"511","66"
"512","5"
"513","3"
"514","10"
"515","4"
"516","7"
"517","38"
"518","11"
"519","ZAN GA b"
"520","ZANGA b"
