"","Word_Malagasy"
"1","Fay"
"2","Voramasaka"
"3","Olovo"
"4","Fiantsifa"
"5","Angisy"
"6",""
"7","Tapaporoha"
"8","Horita"
"9","GOGO"
"10","Lanora"
"11","Faigitara"
"12","Fiambonjo"
"13","Ambatsoy"
"14","Manjiandovoke"
"15","Varilava"
"16","Voramasake"
"17","lanora"
"18","lovokabo"
"19","zanga babake"
"20","voramasake"
"21","Valalafia"
"22","Kifalatse"
"23","Tsabeake"
"24","Tsoidefe"
"25","tsiodafe"
"26","Mahalogy"
"27","Votso"
"28","Fela"
"29","Antserake"
"30","Joginy"
"31","Fitse"
"32","Babake"
"33","Fale"
"34","Ampisy"
"35","Jakake"
"36","Tabake"
"37","Tsoidafe"
"38","Lamera"
"39","Lamatra"
"40","Koloka"
"41","Akio"
"42","Joho"
"43","Bemampe"
"44","olovoangarera"
"45","Fia valala"
"46","Tabak"
"47","Kifalaotse"
"48","Fiagamo"
"49","Votsa"
"50","Tsioke"
"51","Tapaporaha"
"52","Mandreandrea"
"53","Fianakanga"
"54","Lovofisaka"
"55","Ambariake"
"56","Vango"
"57","Kiloka"
"58","Antserapohe"
"59","Voramasaky"
"60","Tsoike"
"61","Lamera Badija"
"62","Tsiomena"
"63","Moloto"
"64","Betampe"
"65","Antsisy"
"66","Tsoimena"
"67","Gogo"
"68","ND"
"69","Lonora"
"70","Voromasake"
"71","Tahake"
"72","Karote"
"73","olovo"
"74","Bentape"
"75","Soanada"
"76","Beja"
"77","H"
"78","A"
"79","F"
"80","Z"
"81","LANGOUSTE"
"82","HORITA"
"83","KILOKA"
"84","TABAKY"
"85","ANGISY"
"86","AMBARIAKY"
"87","BABAKY"
"88","HORITA AKORA"
"89","LANORA"
"90","TSABEAKY"
"91","BADIGA"
"92","LAMERA"
"93","TSOY DAFY"
"94","KIFALAOTSE"
"95","AMBITSY"
"96","AMBARIAKE"
"97","DRAKAKE"
"98","TAPAPOROHA"
"99","JOGING NA LOGIMBATO"
"100","FIAGAMO"
"101","VORAMASAKE"
"102","TSABEAKE"
"103","JAKAKE"
"104","OLOVO"
"105","ANTSISY"
"106","TSOIKE MENA"
"107","TSITSIKE"
"108","BEJA"
"109","FIAMBONJO"
"110","FITSE"
"111","TONA"
"112","TSOIKE"
"113","LAMATRA"
"114","BABAKE"
"115","LEONTINY"
"116","TABAKE"
"117","AMBATSOY"
"118","ANTSERAKE"
"119","TSOIDAFE"
"120","ANGY"
"121","ANDRARAME"
"122","HORITANAKORA"
"123","AMBITSE"
"124","AMBOKE"
"125","SORONALY"
"126","FIAKAPOKE"
"127","KIMIRIKE"
"128","FIANAKANGA"
"129","FOTIOHY"
"130","SOROALY"
"131","AMPORAMA"
"132","MALILA"
"133","MOLONTO"
"134","ANGELIKE"
"135","AMBARIKE"
"136","KOLOKA"
"137","LAVANIFY"
"138","FAY"
"139","MANDRIANDOVOKE"
"140","FIATSIFA"
"141","SORONALE"
"142","BOALIMENA"
"143","AMBATSISY"
"144","PANISY"
"145","VALALA"
"146","LOVOHARA"
"147","OLOVOKABO"
"148","FIAMPOTY"
"149","VARELAVA"
"150","SARIGEBA"
"151","LANGOUSTA"
"152","TAMPAPOROHA"
"153","FIANTSIFA"
"154","AMPOZO"
"155","FIA VALALA"
"156","VOTSO"
"157","TSONTSO"
"158","JOGINY"
"159","AMBASISY"
"160","HORITA "
"161","VARAVARA"
"162","SALABARO"
"163","VARILAVA"
"164","AMATO"
"165","ANGELEKE"
"166","TSIONERANE"
"167","MOLOTO"
"168","LOVO"
"169","BOTOSAKA"
"170","0"
"171","BODOLOHA"
"172","TSORABY"
"173","HORITAN-DOLO"
"174","AVORAKE"
"175","SAROBE"
"176","LEME"
"177","KARAZAM-PIA"
"178","ANTSERA-DAVA"
"179","MANJANDOVOKE"
"180","ANADANORA"
"181","LOGY"
"182","FIANTSOMOTSE"
"183","ANTSERADAVA"
"184","TSOMEAROE"
"185","SABALARO"
"186","ANGARERA"
"187","LOGINY"
"188","ANTSEPOHE"
"189","VORAMASAKE "
"190","ZANGA"
"191","VOROMANJEA"
"192","ANTSERAPOLE"
"193","ARADANORA"
"194","MANJIANDOVOKE"
"195","VORAMASAKY"
"196","JOGINY/LOGIMBATO"
"197","ANA-DANORA"
"198","TSOY DAFE"
"199","LAMATSA"
"200","VORAMASAKE MALINIKY"
