"","Product.type","MalagasyName","EnglishName","LocalName","ScientificName","FinalName"
"1","FAY","Fay","Ray","","","Fay"
"2","VORAMASAKA","Voramasake","","VORAMASAKE,VORAMASAEKE","SIGANUS SUTOR, SIGANUS STELLATUS, SIGANUS SUTOR<A0>, SIGANUS NETOR","VORAMASAKE,VORAMASAEKE"
"3","OLOVO","Fia Lovo","Bluespotted or coral grouper / cephalopholis argus or cephalopholis miniata","LOVO","EPINEPHELUS FUSCOGUTTATUS, CEPHALOPHOLIS SEXMACULATA, CEPHALOPHOLIS MINIATA, ANYPERADON LEUCOGRAMMICUS, EPINEPHELUS CAERULEOPUNCTATUS, EPINEPHELUS FASCIATUS, PLECTROPOMUS PUNCTATUS, CEPHALOPHOLIS URODETA, CEPHALOPHOLIS SONNERATI, PLECTROPOMUS LAEVIS, EPINEPHELUS MULTINOTATUS, PLECTORHINCHUS ALBOVITTATUS, ANYPERODON LEUCOGRAMMICUS, CEPHALOPHOLIS SONNERATI<A0>, PLECTOPOMUS PUNCTATUS, PLECTOPOMUS LAEVIS, PLECTORHINCHUS ALBOVITATUS","LOVO"
"4","VORAMASAKA","Voramasake","","VORAMASAKE,VORAMASAEKE","SIGANUS SUTOR, SIGANUS STELLATUS, SIGANUS SUTOR<A0>, SIGANUS NETOR","VORAMASAKE,VORAMASAEKE"
"5","FIANTSIFA","Fay Tsifa","Unicornfish, Naso unicornis","","","Fay Tsifa"
"6","ANGISY","Angisy","Squid","","","Angisy"
"7","",NA,NA,NA,NA,NA
"8","TAPAPOROHA","Tapaporaha","","","","Tapaporaha"
"9","HORITA","Horita","Octopus","","","Horita"
"10","HORITA","Horita","Octopus","","","Horita"
"11","HORITA","Horita","Octopus","","","Horita"
"12","GOGO","Fia gogo","Madagascar sea catfish/ Arius madagascariensis","","","Fia gogo"
"13","HORITA","Horita","Octopus","","","Horita"
"14","ANGISY","Angisy","Squid","","","Angisy"
"15","HORITA","Horita","Octopus","","","Horita"
"16","LANORA","Fia Lanora","Yellowspotted or giant trevally/ caragoides fulvoguttatus or Caranx ignobilis","LANORA","CARANX PAPUENSIS, CARANX MELAMPYGUS, CARANX IGNOBILIS, CARANGOIDES FULVOGUTTATUS, CARANGOIDES FERDAU, CARANX IGNOBILIS<A0>","LANORA"
"17","FAIGITARA","Faigitara","Ray","","","Faigitara"
"18","HORITA","Horita","Octopus","","","Horita"
