,"""x"""
1,
2,0
3,"""a"""
4,"""A"""
5,"""A """
6,"""A.BEHARA"""
7,"""AMATO"""
8,"""AMBARIAKE"""
9,"""ANGI-BATO"""
10,"""ANGIM-BATO"""
11,"""ANGISIM-BATO"""
12,"""ANGISY"""
13,"""Angisy dolo"""
14,"""ANGSY"""
15,"""ANGY"""
16,"""ANTSERAKE"""
17,"""b"""
18,"""B"""
19,"""Bboziky/joka"""
20,"""Beja"""
21,"""BEJA"""
22,"""benono"""
23,"""BENONO"""
24,"""BETAMPY"""
25,"""Bindra/horita"""
26,"""BODOLOHA"""
27,"""bokahi"""
28,"""Boz ike"""
29,"""bozike"""
30,"""Bozike"""
31,"""BOZIKE"""
32,"""BOZIKE """
33,"""Bozike Joka"""
34,"""Bozike Jonka"""
35,"""BOZIKE JONKA"""
36,"""BOZIKE MENA"""
37,"""Boziky"""
38,"""dakake"""
39,"""dorilisy"""
40,"""DORILISY"""
41,"""DOROLISY"""
42,"""DRAGON"""
43,"""drakake"""
44,"""Drakake"""
45,"""E"""
46,"""f"""
47,"""F"""
48,"""F """
49,"""F,BODOLOHA"""
50,"""F,foty"""
51,"""F,SAVESAVE"""
52,"""F,Tsifa"""
53,"""F,Tsoraby"""
54,"""F..savesave"""
55,"""F.A.Angy"""
56,"""F.Abitsy"""
57,"""F.aloalo"""
58,"""F.Aloalo"""
59,"""F.ALOALO"""
60,"""F.aloalo  """
61,"""F.aloalo be"""
62,"""F.aloalo kely"""
63,"""F.ambariake"""
64,"""F.Ambariake"""
65,"""F.AMBARIAKE"""
66,"""F.Ambatsoy"""
67,"""F.Ambitsozo"""
68,"""F.Ambitsy"""
69,"""F.AMBITSY"""
70,"""F.Amboroy"""
71,"""F.Ambory"""
72,"""F.AMBORY"""
73,"""F.AMBRIAKE"""
74,"""F.Amongo"""
75,"""F.Ampase"""
76,"""F.amporama"""
77,"""F.Amporama"""
78,"""F.AMPORAMA"""
79,"""F.Ampoza"""
80,"""F.AMPOZA"""
