Word (MG),Word (ENG),In data examples,Source,Possible Local Name
Fishing gears,,"""JARIFY"", ""G"", ""Naholok"", “2, ""O"",  ""HARATO,MAKARAKARA,VOLOSO,MANAMBAITSE"", ""Voloso"" ",,
NAs,,"""ND"" , ""0"" , ""n"", ""NA""",,
Different species of fish,,KARAZAM-PIA,,
,Fish,VOLOMBOTO,,
,,"""bokahi""",,
,,"""MISORA""",,
,,"""TAY""",,
Fishing spots,," ""ANTSORIMPASE""",,
Fishing spots,," ""Belamera"",  ",,
,,?OSORA,,
,," ""mabolotsetaly""",,
,,"""TSAIKEMENA""",,
,Fish,Mamilaotse,,
,Fish," ""MPANISY""",,
,Fish,TANDALY,,
,Fish,TANELAKY ,,
,Fish,AOMBILAHINJIAKE,,
,Fish," ""FIA KALOKA""",,
,Fish," ""KIBOROTRATRA""",,
,Cantherhines pardalis or Cantherhines dumerilii," ""AMBILA""",,
,Zebrasoma desjardinii,FIA AROTSY,,Erotse
,Fish,"""Tsaiso""",,
,Shark," ""HIAHIA""",,
,Fish,"""ANTSEARAKANTSIVA""",,
,Fish," ""FIA LOGY""",,Logy
,Fish," ""FIA MASIAKE""",,Fiamasiaky
,Fish,"FIANAOBE,TIANAOBE",,
,Fish," ""LOGIMBATO""",,
,Fish," ""VERAVERA SONY""",,
,Fish," ""VALOTAMPAKE""",,
,Fish,"""VANGO""",,
,Shell," ""TSILATSILATSE""",,
,Fish," ""KELEBELOHA""",,
,Fish,MOTOLO,,"""Molonto"",""Moloto"""
Horita,Octopus,"""H"" , ""HORITA"" , ""Bindra/horita"",""h"", ""H"", ""H "", ""H  "", ""H.F"", ""H nakoho"", ""H.AKOHO"", ""H.nakoho"", ""H.NAOMBE"", ""H/soroboa"", ""HORIA"", ""HORILE"", ""HORITA"", ""HORITA "", ""Liva/horita"", ""H   "", ""H kely"", ""horita"", ""H ORITA"", ""HINTA"", ""HITA"", ""HORIITA"", ""HORITANALE""  ",,
,," ""HEBOTSE"",",,lafo
,," ""lapo""",,
Fia,Fish,"""FIA"", ""F"", ""f"", ""F"",""F "", ""F1"", ""F2"", ""F3"", ""FIA"", ""FIA "", ""F  "", ""fia"" , ""F.Ampase"" ,  ""F;be"", , ""FIAMPOTY"",",,
,Fish,"F.Amongo, ",,
,Fish,"F.Mpivondrake, ",,
,Fish,F.TSIAMBOLOMASO,,
,Fish,"F.taramatse,",,
,Ray,"fa gitara,",,
,Fish,fia lame,,
,Fish," ""F.TALANTARA"",  ",,
,Fish,FIANTSOFA,,
,Fish," ""FIA KIMBOROKE"", ",,
,Fish,"F.ANTSIRIMPOTAKE,",,
,Fish,"F.Mangerelavenoke”,",,
,Fish,"F.NAOMBE,",,
,,"FIA BANA, ",,
,," ""F.andrarame"",",,"""Anjarame"", ""Anjaramy"""
Varilava,"Fish, small, like shrimp","""fia VARILAVA"", ""fia VARILAVA"", ""Varilava"", ""VARILAVA"", ""vary lary"", ""MARILAVA"" ",,
Lomots,Seaweed,"""LOMOTSE"",  ""OMOTSE""",Caitlin,
,,"LELAMIOTSE,",,
