FileName,Year,Month,Day,Region,Village,Informant_gender,Informant_age,Informant_name,Informant_tools_bait,Gender_taking_species,Ocean_location,Tools_bait,Scientific name,Harvest_pressures,Price_kilo,Local name,Time,Notes,,,,,,,,,,,,,,,,,,,,
2024_SW Toera_Beholoke_March_Fish_M_68,2024,March,21,SW Toera,Beholoke,M,68,,"harato,Vinta,Basimpia,Voloso,Palangy",M,L,,Anampses caeruleopunctatus,1,4000,Lemevola,,,,,,,,,,,,,,,,,,,,,,
2024_SW Toera_Beholoke_March_Fish_M_68,2024,March,21,SW Toera,Beholoke,M,68,,"harato,Vinta,Basimpia,Voloso,Palangy",M/W,L,,Anampses geographicus,1,4000,Fia mpihaly,,,,,,,,,,,,,,,,,,,,,,
2024_SW Toera_Beholoke_March_Fish_M_68,2024,March,21,SW Toera,Beholoke,M,68,,"harato,Vinta,Basimpia,Voloso,Palangy",M,L,,Anampses melanurus,1,4000,Lemevola,,,,,,,,,,,,,,,,,,,,,,
2024_SW Toera_Beholoke_March_Fish_M_68,2024,March,21,SW Toera,Beholoke,M,68,,"harato,Vinta,Basimpia,Voloso,Palangy",M,L,,Anampses meleagrides,1,4000,Lemevola,,,,,,,,,,,,,,,,,,,,,,
2024_SW Toera_Beholoke_March_Fish_M_68,2024,March,21,SW Toera,Beholoke,M,68,,"harato,Vinta,Basimpia,Voloso,Palangy",M,R,,Bodianus anthioides,3,,Ongike,,,,,,,,,,,,,,,,,,,,,,
2024_SW Toera_Beholoke_March_Fish_M_68,2024,March,21,SW Toera,Beholoke,M,68,,"harato,Vinta,Basimpia,Voloso,Palangy",M,R,,Bodianus axillaris,3,,Beongike,,,,,,,,,,,,,,,,,,,,,,
2024_SW Toera_Beholoke_March_Fish_M_68,2024,March,21,SW Toera,Beholoke,M,68,,"harato,Vinta,Basimpia,Voloso,Palangy",M,L,,Bodianus bilunulatus,1,4000,Betendre,,,,,,,,,,,,,,,,,,,,,,
2024_SW Toera_Beholoke_March_Fish_M_68,2024,March,21,SW Toera,Beholoke,M,68,,"harato,Vinta,Basimpia,Voloso,Palangy",,,,Bodianus diana,4,,,,,,,,,,,,,,,,,,,,,,,,
2024_SW Toera_Beholoke_March_Fish_M_68,2024,March,21,SW Toera,Beholoke,M,68,,"harato,Vinta,Basimpia,Voloso,Palangy",,,,Bodianus macrourus,4,,,,,,,,,,,,,,,,,,,,,,,,
2024_SW Toera_Beholoke_March_Fish_M_68,2024,March,21,SW Toera,Beholoke,M,68,,"harato,Vinta,Basimpia,Voloso,Palangy",M,L,,Halichoeres hortulanus,1,4000,Leme,,,,,,,,,,,,,,,,,,,,,,
2024_SW Toera_Beholoke_March_Fish_M_68,2024,March,21,SW Toera,Beholoke,M,68,,"harato,Vinta,Basimpia,Voloso,Palangy",M,D,,Halichoeres marginatus,1,4000,Fiambola,,,,,,,,,,,,,,,,,,,,,,
2024_SW Toera_Beholoke_March_Fish_M_68,2024,March,21,SW Toera,Beholoke,M,68,,"harato,Vinta,Basimpia,Voloso,Palangy",M,L,,Halichoeres nigrescens,1,4000,Sapiata,,,,,,,,,,,,,,,,,,,,,,
2024_SW Toera_Beholoke_March_Fish_M_68,2024,March,21,SW Toera,Beholoke,M,68,,"harato,Vinta,Basimpia,Voloso,Palangy",M,L,,Hologymnosus annulatus,1,3000,Tsobibike,,,,,,,,,,,,,,,,,,,,,,
2024_SW Toera_Beholoke_March_Fish_M_68,2024,March,21,SW Toera,Beholoke,M,68,,"harato,Vinta,Basimpia,Voloso,Palangy",M,R,,Notolabrus parilus,1,3000,Gonoke,,,,,,,,,,,,,,,,,,,,,,
2024_SW Toera_Beholoke_March_Fish_M_68,2024,March,21,SW Toera,Beholoke,M,68,,"harato,Vinta,Basimpia,Voloso,Palangy",M/W,R,,Novaculichthys taeniourus,1,3000,Fia mpihaly,,,,,,,,,,,,,,,,,,,,,,
2024_SW Toera_Beholoke_March_Fish_M_68,2024,March,21,SW Toera,Beholoke,M,68,,"harato,Vinta,Basimpia,Voloso,Palangy",,,,Oxycheilinus mentalis,4,,,,,,,,,,,,,,,,,,,,,,,,
2024_SW Toera_Beholoke_March_Fish_M_68,2024,March,21,SW Toera,Beholoke,M,68,,"harato,Vinta,Basimpia,Voloso,Palangy",,,,Stethojulis albovittata,4,,,,,,,,,,,,,,,,,,,,,,,,
2024_SW Toera_Beholoke_March_Fish_M_68,2024,March,21,SW Toera,Beholoke,M,68,,"harato,Vinta,Basimpia,Voloso,Palangy",M,R,,Stethojulis bandanensis,1,3000,Leme,,,,,,,,,,,,,,,,,,,,,,
2024_SW Toera_Beholoke_March_Fish_M_68,2024,March,21,SW Toera,Beholoke,M,68,,"harato,Vinta,Basimpia,Voloso,Palangy",M,R,,Stethojulis strigiventer,1,3000,Leme,,,,,,,,,,,,,,,,,,,,,,
2024_SW Toera_Beholoke_March_Fish_M_68,2024,March,21,SW Toera,Beholoke,M,68,,"harato,Vinta,Basimpia,Voloso,Palangy",M,L/D,,Thalassoma amblycephalum,1,3000,Tsobibike,,,,,,,,,,,,,,,,,,,,,,
2024_SW Toera_Beholoke_March_Fish_M_68,2024,March,21,SW Toera,Beholoke,M,68,,"harato,Vinta,Basimpia,Voloso,Palangy",M,R,,Thalassoma hardwicke,1,3000,Leme,,,,,,,,,,,,,,,,,,,,,,
