"","x"
"1",""
"2"," Fitse "
"3"," Fitse lava"
"4"," sasaky"
"5","Aboboriambohony"
"6","Abognabo"
"7","Acastor"
"8","Albocore"
"9","Aloalo"
"10","Alovo"
"11","Alovo "
"12","Alovo hombo"
"13","Alovo karikary"
"14","Alovo mena"
"15","Alovomena"
"16","Amalo"
"17","Amato"
"18","Amato ambohone"
"19","Ambalamasake"
"20","Ambamba"
"21","Ambanilahagna"
"22","Ambanilakana"
"23","Ambariabemaso"
"24","Ambariaka"
"25","Ambariake"
"26","Ambariake bemaso"
"27","Ambariambato"
"28","Ambariandronga"
"29","Ambariondrogno"
"30","Ambatsoy"
"31","Ambatsoy vaho"
"32","Ambatsoy vanda"
"33","Ambila"
"34","Ambimbohane"
"35","Ambitsy"
"36","Ambitsy "
"37","Ambitsy lavaoro"
"38","Ambognabo"
"39","Amboramasake"
"40","Ambory"
"41","Ambory fotihohy"
"42","Ambory kiosa"
"43","Ambory lavatsifa"
"44","Amporama"
"45","Ampoza"
"46","Ampozo"
"47","Anadanora"
"48","Anadovo"
"49","Anapitse"
"50","Andrarame"
"51","Andraramy"
"52","Andraro"
"53","Andrazao"
"54","Andrevaka"
"55","Andrevakabe"
"56","Angarera"
"57","Angarere"
"58","Angeleke"
"59","Angelike"
"60","Angera"
"61","Angerera"
"62","Angihoala"
"63","anginkara"
"64","Anginkara"
"65","Angintsoy"
"66","Ango"
"67","Ango kary jaune kibo"
"68","Ango kary/ torosatragna"
"69","Ango torisatragna"
"70","Angolava"
"71","Angorera"
"72","Angotra"
"73","Angotra fisaka"
"74","Angotra jaune kary"
"75","Angotra jaune rambo"
"76","Angotra joby"
"77","Angy"
"78","Angy "
"79","Angy  tsotra"
"80","Angy be elatse"
"81","Angy beondo"
"82","Angy bleu"
"83","Angy fotihohy"
"84","Angy Fotihohy"
"85","Angy fotiohy"
"86","Angy hara"
"87","Angy hoala"
"88","Angy koala"
"89","Angy Koala"
"90","Angy maheriholitsy"
"91","Angy mainte"
"92","Angy mena"
"93","Angy menasofy"
"94","Angy oritse"
"95","Angy Oritse"
"96","Angy resisike"
"97","Angy Sabahohy"
"98","Angy sapiata"
"99","Angy Sapiata"
"100","Angy sarekifo"
"101","Angy sarifianakoho"
"102","Angy sarilovo"
"103","Angy Sarilovo"
"104","Angy sisy"
"105","Angy soritse"
"106","Angy soropaosa"
"107","Angy Soropaosa"
"108","Angy tarehy"
"109","Angy vola"
"110","Anjarame"
"111","Anjaramy"
"112","Ankaranga"
"113","Ankarara"
"114","Ankarara betay"
"115","Anntseradolo"
"116","Antafagna"
"117","Antendro"
"118","Antondro"
"119","Antondro Besony"
"120","Antseradolo"
"121","Antserake Antsivo"
"122","Antsisy"
"123","Antsisy menasofy"
"124","Antsisy oritse"
"125","Antsisy tendrenkary"
"126","Antsisy, Tapaporoha"
"127","Antsitsipetake"
"128","Antsitsy"
"129","Antsivonkara"
"130","Aporama"
"131","Ariloha"
"132","Arobe"
"133","Arotse"
"134","Atendro"
"135","ATENDROMENAHOHY"
"136","Atendromenaohy"
"137","Baboke"
"138","Baomby"
"139","Barazezake"
"140","Batola"
"141","Batola lava"
"142","Batola lomorondro"
"143","Batola tebonkary"
"144","batola torosatragna"
"145","Batolandambo"
"146","Bebotomena"
"147","Behara"
"148","Belalengo"
"149","Bemaso"
"150","Bemasonkara"
"151","Bemiroro"
"152","Beondo"
"153","Beongike"
"154","Bererake"
"155","Besisike"
"156","Besony"
"157","Betendre"
"158","Bieneme"
"159","Bika"
"160","Boalimena"
"161","Boboty"
"162","Bodoloha"
"163","Bodoloha "
"164","Bodoloha bleu"
"165","Bodoloha bole"
"166","Bodoloha Bole"
"167","Bodoloha fepetse"
"168","Bodoloha koloka"
"169","Bodoloha ou Tabake"
"170","Bodoloha tsimiroro"
"171","Bodoloha vave"
"172","Bodoloha veve"
"173","Bodoloha/tabaky"
"174","Bodolohankara"
"175","Bogana"
"176","Bogana bemaso"
"177","Bogereje"
"178","Bokana"
"179","Bokary"
"180","Bokiky"
"181","Bombom"
"182","Bongo mena"
"183","Bonity"
"184","Bontana"
"185","Borana"
"186","Bosiry"
"187","Botana"
"188","Botana "
"189","Botana katsa"
"190","Botana lovo"
"191","Brose"
"192","capitaine"
"193","Capitaine"
"194","Carriphene"
"195","Client"
"196","Decoratio de la mer"
"197","dint know"
"198","Dk"
"199","Don't know"
"200","don't now"
"201","Dondiry"
"202","Dongindoha"
"203","Dongiry"
"204","Droite"
"205","Droites"
"206","Erotse"
"207","Espadon"
"208","Fahetse"
"209","Fania"
"210","Fania/Betendre"
"211","Fatsikampify"
"212","Fatsiky ampify"
"213","Fatsiky Ampify"
"214","Fatsiky Ampify Torosatragna"
"215","Fepetse"
"216","Fepetsy"
"217","Fia amato"
"218","Fia behara"
"219","Fia bemaso"
"220","Fia mainte"
"221","Fia mbondro"
"222","Fia mena"
"223","fia mpihaly"
"224","Fia mpihaly"
"225","Fia Mpihaly"
"226","Fia tsifamboro"
"227","Fiagoama"
"228","Fiamasiaky"
"229","Fiambaja"
"230","Fiambato"
"231","Fiambaza"
"232","Fiambola"
"233","Fiambondro"
"234","Fiambondro bemaso"
"235","Fiambondro mena"
"236","Fiambondro sarijoho"
"237","Fiambondro sarilafo"
"238","Fiambondro sarilovo"
"239","fiambory"
"240","Fiambory"
"241","Fiambory de large"
"242","Fiamena"
"243","Fiamena ladafy"
"244","Fiampondro"
"245","Fiampotsy"
"246","Fianakanga"
"247","Fianakoh be elatse"
"248","Fianakoho"
"249","Fianakoho jaune"
"250","Fianakoho mainte"
"251","Fianakokoho zony"
"252","Fianaondry"
"253","Fiandolo"
"254","Fiantafa"
"255","Fiantandroka"
"256","Fiantsara"
"257","fiantsifa"
"258","Fiantsifa"
"259","Fiantsifa bory"
"260","Fiantsifa foty"
"261","fiantsifa mamy"
"262","Fiantsifa vola"
"263","Fiantsifa vola/Koly"
"264","Fiantsifa zony"
"265","Fiantsifanaombe"
"266","Fiantsilaka"
"267","Fiantsilaka realy"
"268","Fiantsiomo"
"269","fiantsomotse"
"270","Fiantsomotse"
"271","Fiantsono"
"272","Fiantsootse"
"273","Fiatandroka"
"274","Fiatsara"
"275","Fiatsifanaombe"
"276","Filelandamatsa"
"277","Fisendavake"
"278","Fitreka"
"279","Fitse"
"280","Fitse "
"281","Fitse  Ambohara"
"282","Fitse ambonenkara"
"283","Fitse bole"
"284","Fitse fepetse"
"285","Fitse Fepetse"
"286","Fitse jaune"
"287","Fitse lahy"
"288","Fitse lava"
"289","Fitse mainte"
"290","Fitse mena"
"291","Fitse oritse"
"292","Fitse someoke"
"293","Fitse tsokorokedo"
"294","Fitse vave"
"295","Fitse zone"
"296","Fitse zony"
"297","Fitsendavake"
"298","Fizolotsora"
"299","Fonondomotse"
"300","Fororotse"
"301","Fotihohy"
"302","Gamo"
"303","Gamo mandritsiamintsalotse"
"304","Gamo/Pareabava"
"305","Gamoke"
"306","Garamaso"
"307","Garanake"
"308","Geba"
"309","Gillet"
"310","Gisirano"
"311","Godogodoke"
"312","Gogana"
"313","Goike"
"314","Gonogonoke"
"315","Gonoke"
"316","Gorongoro"
"317","Hamboraza"
"318","Hamby"
"319","Harabo"
"320","Harobe"
"321","Haroby"
"322","Hatokatendro"
"323","Henala"
"324","Henjivato"
"325","Henjy"
"326","henjy vato"
"327","Herimbato"
"328","Herobato"
"329","Hognobo"
"330","Hongike"
"331","Jabeabeake"
"332","Jano"
"333","Janogno"
"334","Jereje"
"335","Jiambo"
"336","Jigomo"
"337","Jiovaky"
"338","Jiovaky mainte"
"339","Jiovaky vanda"
"340","Jodary"
"341","Joho"
"342","Joho varavara"
"343","Jokorevy"
"344","kabo"
"345","Kabo"
"346","Kabo'"
"347","Kabo kabo"
"348","kabo manratsy ty taolany,mahafaty"
"349","Kabolovo"
"350","Kalama"
"351","Kandrarano"
"352","Karara"
"353","Karata"
"354","Karbinaly"
"355","Katakata"
"356","Kelehohinaombe"
"357","Kelehohindolo"
"358","kelehohy"
"359","Kelehohy"
"360","Kelehohy "
"361","Kelehohy karabe"
"362","Kelehohy revareva"
"363","keleohinakanga"
"364","Keleohinakanga"
"365","Keleohinaombe"
"366","Keleohiony"
"367","Keleohy"
"368","kiba"
"369","Kiba"
"370","Kifalaotse"
"371","kifo"
"372","Kifo"
"373","Kiko"
"374","Kiky"
"375","Kimborimboritratra"
"376","kimboro"
"377","Kimboro"
"378","Kimboro foty"
"379","Kimboroborotsatsa"
"380","Kimema"
"381","kimena"
"382","Kimena"
"383","Kimenafoty"
"384","Kimenankara"
"385","Kinirike"
"386","Kipela"
"387","Kipela bleu"
"388","Kipela misy petake"
"389","Kirara bemaso"
"390","Kitrangy"
"391","Koama"
"392","koana"
"393","Koana"
"394","Koibone"
"395","Koike"
"396","Koiky"
"397","Koloka"
"398","koly"
"399","Koly"
"400","Kongotry"
"401","Kotojoby"
"402","Kotrokotro"
"403","Kotsokotso"
"404","Laberatse"
"405","Labieratse"
"406","Lafendaka"
"407","Lafo"
"408","Lafo mena"
"409","Laintsambo"
"410","Laitrambo"
"411","Lamaira"
"412","Lamaira-kina"
"413","Lamaira "
"414","Lamaira fesotse ambato"
"415","Lamaira kina"
"416","Lamairankena"
"417","lamantra"
"418","Lamantra"
"419","Lamatra"
"420","Lamatra bory"
"421","Lamatranjaza"
"422","Lamatsa"
"423","Lameragna"
"424","Lampe torche"
"425","Lanilany"
"426","Lanora"
"427","Lanora ambitsozo"
"428","Lanora lavasofy"
"429","Lanora menamaso"
"430","Lanora zony"
"431","Lanorambe"
"432","Lavanify"
"433","Lavavalaha"
"434","Lavavava"
"435","Lavitroy"
"436","Lavotroy"
"437","leme"
"438","Leme"
"439","Leme lavavava"
"440","Leme menamaso"
"441","Lemevola"
"442","Lemey ndomotse"
"443","Lemilemy"
"444","Leminakanga"
