"","WORDS_INDATA","NAME_OTHER","LOCAL_ANIRA","SCI_NAME"
"1","JARIFY, G, NAHOLOK, , O,  HARATO,MAKARAKARA,VOLOSO,MANAMBAITSE, VOLOSOA","Fishing Gear","",NA
"2","ANTSORIMPASE","Fishing Location","",NA
"3","BELAMERA,","Fishing Location","",NA
"4","FIA AROTSY","","EROTSE","ZEBRRASOMA VELIFERUM, ZEBRASOMA DESJARDINII, ZEBRASOMA GEMMATUM, ACANTHUNUS GUTTATUS, ACANTHUNUS LINEATUS, ZEBRASOMA VELIFERUM"
"5","HIAHIA","Shark","",NA
"6","FIA LOGY","","LOGY","RASTRELLIGER KANAGURTA, SELAR CRUMENOPHTHALMUS"
"7","FIA MASIAKE","","FIAMASIAKY","DIAGRAMMA PICTUM"
"8","MOTOLO","","MOLONTO,MOLOTO","CALOTOMUS SPINIDENS"
"9","H , HORITA , BINDRAHORITA,H, H, H , H  , HF, H NAKOHO, HAKOHO, HNAKOHO, HNAOMBE, HSOROBOA, HORIA, HORILE, HORITA, HORITA , LIVAHORITA, H   , H KELY, HORITA, H ORITA, HINTA, HITA, HORIITA, HORITANALE","Octopus","",NA
"10","HEBOTSE,","","LAFO","PTEROIS VOLITANS, NOTOLABRU SPARLUS, PTERAGOGUS FLAGELLIFERA, NOTOLABRUS PARILUS"
"11","FIA, F, F, F,F , F, F, F, FIA, FIA , F  , FIA , FAMPASEA,  FBE, , FIAMPOTY,","Fish","",NA
"12","AFANDRARAME,","","ANJARAME,ANJARAMY","ACANTHUNUS TRIOSTEGUS, ACANTHURUS TRIOSTEGUS"
"13","LOMOTSE,  OMOTSE","Seaweed","",NA
"14","A, A, A , ANGISY,","Squid","",NA
"15","AMPOZO","","AMPOZO","NASO FAGENI, NASO HEXACANTHUS, NASO TUBEROSUS, NASO BRANCHYCENTRON, NASO FAGANI, NASO BREVIROSTRIS, NASO VLAMINGII, NASO ANNULATUS"
"16","ANGY, ANGY","","ANGY","ACANTHURUS LEUCOSTERNON, ACANTHURUS THOMPSONI, CTENOCHAETUS TRUNCATUS, ACANTHURUS NIGROFUSCUS, CTENOCHAETUS BINOTATUS, CTENOSCHRETUS STUATUS, SIGANUS CORALLINUS, ACANTHURUS NIGRICAUDA, ACANTHURUS XANTHOPTERUS, ACANTHURUS MATA, ACANTHURUS TENNENTI, SIGNANUS CARALLINUS"
"17","ANGIVOLA, ANGY VOLA,","","ANGY VOLA","ACANTHURUS LEUCOSTERNON, CTENOCHAETUS BINOTATUS"
"18","ABEHARA","","FIA BEHARA","ZEBRASOMA GEMMATUM"
"19","AMATO","","AMATO","LUTJANUS MONASTIGMA, APRION VIRESCENS, LETHRINUS MAHSENA, LUTJANUS ARGENTIMACULATUS"
"20","AMBARIAKE","","AMBARIAKE,AMBARIAKA","GERE ACINACES, GYMNOCRANIUS GRISEUS, LETHRINUS HARAK, MONOTAXIS GRANDOCULIS, GYMNOCRANIUS GRANDOCULIS, GERRES ACINACES"
"21","ANGY, FAANGY,","","ANGY","ACANTHURUS LEUCOSTERNON, ACANTHURUS THOMPSONI, CTENOCHAETUS TRUNCATUS, ACANTHURUS NIGROFUSCUS, CTENOCHAETUS BINOTATUS, CTENOSCHRETUS STUATUS, SIGANUS CORALLINUS, ACANTHURUS NIGRICAUDA, ACANTHURUS XANTHOPTERUS, ACANTHURUS MATA, ACANTHURUS TENNENTI, SIGNANUS CARALLINUS"
"22","ANTSEDAVA, ANTSERADAVA, ANTSERADAVA, ANTSERADAVA  , ANTSERANDAVA, ATSERADAVA","","ANTSERAKE ANTSIVO","AULOSTOMUS CHINERSIS"
"23","ANTSERAKANTSIVA, ANTSERAKANTSIVA, ANTSERAKATSIVA, ANTSERANANTSIVA , ANTSORAKATSIVA, NTSERAKANTSIVA","","ANTSERAKE ANTSIVO","AULOSTOMUS CHINERSIS"
"24","ANTSEPOHE, ANTSERAMPOHE , ANTSERAPOHE, ANTSERAPOHY, ANTSERAPOLE, ANTSERAPOTY","","ANTSERAKE ANTSIVO","AULOSTOMUS CHINERSIS"
"25","BORISY, BOROSY,  BOSIRY, FIA BOSIRY","","BOSIRY","SIGNANUS SPINUS, SIGANUS SPINUS, SIGANUS LURIDUS"
