"","WORDS_INDATA","ENGLISH_SOPHIE","MALAGASY_SOPHIE","SOURCE","LOCAL_ANIRA","NAME_OTHER"
"1","ND ,  , N, NA","","NAs","","",""
"2","KARAZAMPIA","","Different species of fish","","",""
"3","VOLOMBOTO","Fish","","","",""
"4","BOKAHI","","","","",""
"5","MISORA","","","","",""
"6","TAY","","","","",""
"7","OSORA","","","","",""
"8","MABOLOTSETALY","","","","",""
"9","TSAIKEMENA","","","","",""
"10","MAMILAOTSE","Fish","","","",""
"11","MPANISY","Fish","","","",""
"12","TANDALY","Fish","","","",""
"13","TANELAKY","Fish","","","",""
"14","AOMBILAHINJIAKE","Fish","","","",""
"15","FIA KALOKA","Fish","","","",""
"16","KIBOROTRATRA","Fish","","","",""
"17","AMBILA","Cantherhines pardalis or Cantherhines dumerilii","","","",""
"18","TSAISO","Fish","","","",""
"19","ANTSEARAKANTSIVA","Fish","","","",""
"20","FIANAOBE,TIANAOBE","Fish","","","",""
"21","LOGIMBATO","Fish","","","",""
"22","VERAVERA SONY","Fish","","","",""
"23","VALOTAMPAKE","Fish","","","",""
"24","VANGO","Fish","","","",""
"25","TSILATSILATSE","Shell","","","",""
"26","KELEBELOHA","Fish","","","",""
"27","LAPO","","","","",""
"28","FAMONGO,","Fish","","","",""
"29","FMPIVONDRAKE,","Fish","","","",""
"30","FTSIAMBOLOMASO","Fish","","","",""
"31","FTARAMATSE,","Fish","","","",""
"32","FA GITARA,","Ray","","","",""
"33","FIA LAME","Fish","","","",""
"34","FTALANTARA,","Fish","","","",""
"35","FIANTSOFA","Fish","","","",""
"36","FIA KIMBOROKE,","Fish","","","",""
"37","FANTSIRIMPOTAKE,","Fish","","","",""
"38","FMANGERELAVENOKE,","Fish","","","",""
"39","FNAOMBE,","Fish","","","",""
"40","FIA BANA,","","","","",""
"41","FIA VARILAVA, FIA VARILAVA, VARILAVA, VARILAVA, VARY LARY, MARILAVA","Fish, small, like shrimp","Varilava","","",""
"42","LELAMIOTSE,","","","","",""
"43","BETAMPY, BETAMPE, BEMAMPE, BENTAPE, BETABE, BETAMPE","Shell","","","",""
"44","ANGISY, ANGSY","Squid","Angisy","Anira","",""
"45","ANGISY DOLO, ANGISINDOLO, ANDOLO,  ANGISIMBATO,ANGIBATO, ANGIMBATO, NGISIMBATO,ANGINDOLO, ANDISINDOLO","Squid","Angisy","","",""
"46","AKIO","Shark","Akio","","",""
"47","AKIO VIKO, AKIO VIKOI, AKIOVIKO","Shark","Akio","","",""
"48","AKIO FOTY","Shark","Akio","","",""
"49","AKIO SATIRA","Shark","Akio","","",""
"50","FIANDAVENOKE","Fish","","","",""
"51","BANGA, BANGARODE  , DANGARODE, DANGAROE","Fish","Dangarode","","",""
"52","BADIGA, BADIGA , BADIGA , BADIKA","Fish","Badiga","","",""
"53","DANGAROAKE, DANGAROHAKE","Shell","Dangarohake","","",""
"54","DARANGO","Seahorse","","","",""
"55","DIRIKE, DIVIKE,DIVIKE,","Ark clams","","","",""
"56","FIA DANDEZO,DANDEZO","Belt fish","","","",""
"57","FAIGITARA, FAIRARA, FANIGITARA, FIAGITARA","Ray","Faigitara","","",""
"58","HORITA NDOLO, HORITAMDOLO, HORITANDOLO, HORITAN DOLO, HORITANDOLO, HORITNDOLO","Octopus macropus","Horita Dolo","","",""
"59","JAGARODE, JANGARODE","Fish","Jagarode","","",""
"60","JAKAAKE, JAKAKE, JAKAKE , JAKAKE, FELA, JIKE","Crab","Jakake","","",""
"61","KAPIAKE, KAPIKE,KAPOAKE, KAPOKE","","Kapike","","",""
"62","JONKA,JOKA","","","","",""
"63","KATSA","Cypraediae/ cowries","","","",""
"64","KAPILA, KAPILA , KAPILA","Shell","","","",""
"65","KARO","","","","",""
"66","KAROTE","","","","",""
"67","BEJA","Cypaeacassis rufa","Beja","","",""
"68","KATRA , KATRA,KATRA","Cypraediae/ cowries","Katra","","",""
"69","KILIKA, KILOHA, KILOKA, KILOKA ,  KODA, KOLOKA,","","Kiloka","","",""
"70","HATSA","Cypraediae/ cowries","","","",""
"71","LENTINY, LEONTINY, LIONTINY, FLEONTINE","","Leontiny","","",""
"72","MAFIHARA, MAFIHARA,  MAHIFARA","Fish","Mafihara","","",""
"73","MALONGY, MALONGY,","","","","",""
"74","MAROMOGNE, MARONOGNE","","","","",""
"75","FIA MANDRIANDOVOKE, MAJANDOVOKE MAJANDOVOKE, MANDRANDOVOKE, MANDRIANDOVOKE,MANJANDOVOKE, MANJIANDOVOKE","Fish","Mandriandovoke","","",""
"76","MANGERELAVENOKE, MANGERILAVELONE, MANGERILAVENOKE, MANGERILAVENOKETARATAKE","Fish","","","",""
"77","MANDREANDREA","","","","",""
"78","PANIISY, PANISY, PANISY","Fish","Panisy","","",""
"79","MOSORA ,  MOSORS","","Mosora","","",""
"80","SOAGNA, SOANA","","Soana","","",""
"81","SOANADA","Fish","","","",""
"82","PARAKIHOSOKE , PARAKY HOSOKE","Parakihosoke","Paraki Hosoke","","",""
"83","TAPAPORAHA, TAPAPOROHA, TAPAPOROKA","","Tapaporaha","","",""
"84","FVATSITSA, VATRITRA, VATRITSA, VATSITSA","Fish","Vatsitsa","","",""
"85","VOLAMPIHAMITSE, VOLATAITSE, VOLOMPIHAMITS, VOLOMPIHAMITSE, VOLOMPIHAMY","Fish","Volompihamitse","","",""
"86","ANADANORA, ANADANORA, ARADANORA","","Anadanora","","",""
"87","ANTSERAKE, FANTERAKE, FANTSERAKE, FANTSERAKY, FANTSERAKE, ATSERAKE","Black-barred halfbeak/ hemiramphus far","Antseraky","Caitlin","",""
"88","AVORAKE","","","","",""
"89","TSOKARIKE","Cypraediae/ cowries","","","",""
"90","TSORAKY","","","","",""
"91","B,B, BBOZIKYJOKA, BETAMPY, BOZ IKE,   BOZIKE,  BOZIKE , BOZIKE, BOZIKE , BOZIKE JOKA ,   BOZIKE JONKA  ,  BOZIKE JONKA, BOZIKE MENA, BOZIKY , BZIKE, BBZIKE, BOZIDNAHY, BOZIKE , BOZIKE , BOZIKE , BOZIKEJONKA, BOZIKE, BOZIKY, JONKA, NJONKA, BOBIKE, BODIGA, BOJA, BOKIKE, BOZIKA, BOZIKE, HOVOHOVO, BOZITSE , BOZIKE,BOZIKE,","Chicoreus ramosus","Bozike","Caitlin","",""
"92","BEJA, BEJA, BEJA, BEJA , BENJA, BEJA, BEJA BELA , BEZA","Bull-mouth helmet/ cypaeacassis rufa","Beja","BV","",""
"93",", TABOKINA,","","","","",""
"94","Z, ZJOMALY, Z, ZJOMALY, ZANGA ZOMALY, ZANGA ZOMALY, ZANGA ZOMALY, ZOMALY ,ZANGAZOMALY, ZAMALY ZM,  ZOMALY, ZOMALY,ZANGA JOMALY,","Sea Cucumber","","","",""
"95","ZANGA JOGINY,","Sea Cucumber","","","",""
"96","ZANGA FOLERA","","","","",""
"97","BENONO, BENONO , ZANGA BENONO, ZANGA BENONO, ZANGA BENONO, ZANGA BENONO, BN ZANGA, BN ZANGA, BN ZANGA , BN ZANGA , BENONO, ZBENONO, ZAN GA B, ZANA BENONO, ZANGA B, ZANGA BN, ZANGA BN, ZANGA BN, ZANGA BT, ZANGA BENONO, ZANGA BENONOI, ZANGABN, ZANGABENONO, ZANGABENONO, ZANG BENONO","White teatfish/ holothuria fuscogilva","Zanga Benono","Caitlin","",""
"98","DORILISY, DORILISY, DOROLISY, ZANGA DORILISY, ZANGA DORLISY, ZANGA DOROLISY, DORLISY, DOROLISY, DORLISY, DOROLISY,  ZANGA DO, ZANGA DORILISY, ZANGA DORILISY, ZANGA DORLISY, ZANGA DOROLISY, ZANGA DOROLISY, ZANGADORLISY","Pink/black sea cucumber or black teatfish/ holothuria edulis or notabilis","Zanga Dorilisy","Caitlin","",""
"99","ZANGA BOROSY,","","","","",""
"100","ZANGA FOTITSETSAKE, ZANGA FOTY, ZANGA FOTY, ZANGA FTS, ZANGA FOTITSETSAKE, ZANGA FOTY, ZANGA FOTY, ZANGA FOTY , ZANGA FOTY TSETSAKE, ZANGA TOTITSETSAKE, ZANGAFOTITSETSAKE, ZANGATOTITSETSAKE,ZANGA FOTITSETRAKE,ZFOTITSETSEKE,ZFOTITSETSEKE,","Sandfish Holothuria scabra","Zanga foty","Caitlin","",""
"101","ZANGA TRONKENA, ZANGA TSOKENA, TRONKENA, TSK ZANGA, TSK ZANGA, TSKA ZANGA, TSOKA, TSOKEN ZANGA, TSONKENA, ZTSOKENA, ZAGZ TSOKENA, ZANGATSOKENA, ZANGATSOKENA,  ZANGA TROKENA, ZANGA TSK, ZANGA TSK, ZANGA TSEK, ZANGA TSOKENA, ZANGA TSOKENA, ZANGA TSONKENA,  TSOKENA,","Brownfish/ Actinopyga echinites","Zanga Trokena","Caitlin","",""
"102","ZANGA TRIKITERA, ZANGA TRIKITERA,","","Zanga Trikitera","","",""
