Year,State,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn,Source
2023,CONNECTICUT,"FLOUNDER, SUMMER",902145.00,409,2629466.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2023,CONNECTICUT,"FLOUNDER, SUMMER",277234.00,126,,Public,Recreational,,172735,MRIP
2023,DELAWARE,"FLOUNDER, SUMMER",366581.00,166,,Public,Recreational,,172735,MRIP
2023,DELAWARE,"FLOUNDER, SUMMER",702.00,0,2854.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2023,MARYLAND,"FLOUNDER, SUMMER",151537.00,69,,Public,Recreational,,172735,MRIP
2023,MARYLAND,"FLOUNDER, SUMMER",436871.00,198,855820.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2023,MASSACHUSETTS,"FLOUNDER, SUMMER",981285.00,445,2094233.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2023,MASSACHUSETTS,"FLOUNDER, SUMMER",311117.00,141,,Public,Recreational,,172735,MRIP
2023,NEW HAMPSHIRE,"FLOUNDER, SUMMER",3594.00,2,,Public,Recreational,,172735,MRIP
2023,NEW JERSEY,"FLOUNDER, SUMMER",2309502.00,"1,048",4591315.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2023,NEW JERSEY,"FLOUNDER, SUMMER",4038832.00,"1,832",,Public,Recreational,,172735,MRIP
2023,NEW YORK,"FLOUNDER, SUMMER",1458332.00,661,4311779.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2023,NEW YORK,"FLOUNDER, SUMMER",1931520.00,876,,Public,Recreational,,172735,MRIP
2023,NORTH CAROLINA,"FLOUNDER, SUMMER",34192.00,16,,Public,Recreational,,172735,MRIP
2023,RHODE ISLAND,"FLOUNDER, SUMMER",288605.00,131,,Public,Recreational,,172735,MRIP
2023,RHODE ISLAND,"FLOUNDER, SUMMER",2250190.00,"1,021",5850762.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2023,VIRGINIA,"FLOUNDER, SUMMER",2567927.00,"1,165",3717093.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2023,VIRGINIA,"FLOUNDER, SUMMER",1150102.00,522,,Public,Recreational,,172735,MRIP
2022,CONNECTICUT,"FLOUNDER, SUMMER",904036.00,410,2549088.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2022,CONNECTICUT,"FLOUNDER, SUMMER",411603.00,187,,Public,Recreational,,172735,MRIP
2022,DELAWARE,"FLOUNDER, SUMMER",253285.00,115,,Public,Recreational,,172735,MRIP
2022,DELAWARE,"FLOUNDER, SUMMER",1083.00,0,4352.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2022,MARYLAND,"FLOUNDER, SUMMER",185649.00,84,,Public,Recreational,,172735,MRIP
2022,MARYLAND,"FLOUNDER, SUMMER",410504.00,186,798773.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2022,MASSACHUSETTS,"FLOUNDER, SUMMER",876156.00,397,2378435.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2022,MASSACHUSETTS,"FLOUNDER, SUMMER",198202.00,90,,Public,Recreational,,172735,MRIP
2022,NEW JERSEY,"FLOUNDER, SUMMER",3552195.00,"1,611",,Public,Recreational,,172735,MRIP
2022,NEW JERSEY,"FLOUNDER, SUMMER",2405343.00,"1,091",6095860.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2022,NEW YORK,"FLOUNDER, SUMMER",1370058.00,621,4527986.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2022,NEW YORK,"FLOUNDER, SUMMER",2840231.00,"1,288",,Public,Recreational,,172735,MRIP
2022,NORTH CAROLINA,"FLOUNDER, SUMMER",22152.00,10,,Public,Recreational,,172735,MRIP
