Year,bt_temp
1959,6.668262136
1960,6.660407484
1961,6.406839372
1962,6.929264426
1963,6.871447565
1964,6.434646299
1965,6.019364811
1966,6.212349395
1967,6.062551619
1968,6.222389063
1969,6.982266344
1970,6.718452368
1971,6.420713851
1972,7.082648889
1973,7.076868067
1974,7.478145335
1975,7.369035279
1976,7.636513372
1977,7.089833537
1978,6.674428744
1979,6.188935774
1980,6.87829741
1981,6.587514222
1982,6.406948914
1983,7.306237559
1984,6.977913879
1985,7.603910295
1986,7.982450905
1987,7.135238433
1988,6.821000428
1989,7.071021935
1990,7.26843963
1991,7.939075271
1992,6.910812637
1993,6.67445827
1994,7.696703699
1995,7.542804503
1996,6.804817593
1997,7.157362878
1998,6.498669455
1999,7.708040598
2000,8.172842836
2001,7.305779264
2002,7.860322613
2003,6.728931381
2004,6.062992069
2005,6.329001313
2006,7.261095498
2007,6.246040877
2008,6.70290996
2009,7.058778119
2010,8.338380789
2011,7.509823771
2012,8.949134615
2013,8.29967208
2014,7.942865471
2015,8.021900113
2016,8.890487693
2017,7.485228352
2018,8.2791375
2019,7.487395274
2020,7.77441694
2021,8.798917376
