"year","month","var.name","statistic","value"
1993,"January","BottomT","mean",NA
1993,"January","BottomT","sd",NA
1993,"January","BottomT","mean",NA
1993,"January","BottomT","sd",NA
1994,"January","BottomT","mean",NA
1994,"January","BottomT","sd",NA
1995,"January","BottomT","mean",NA
1995,"January","BottomT","sd",NA
1996,"January","BottomT","mean",NA
1996,"January","BottomT","sd",NA
1997,"January","BottomT","mean",NA
1997,"January","BottomT","sd",NA
1998,"January","BottomT","mean",NA
1998,"January","BottomT","sd",NA
1999,"January","BottomT","mean",NA
1999,"January","BottomT","sd",NA
2000,"January","BottomT","mean",NA
2000,"January","BottomT","sd",NA
2001,"January","BottomT","mean",NA
2001,"January","BottomT","sd",NA
2002,"January","BottomT","mean",NA
2002,"January","BottomT","sd",NA
2003,"January","BottomT","mean",NA
2003,"January","BottomT","sd",NA
2004,"January","BottomT","mean",NA
2004,"January","BottomT","sd",NA
2005,"January","BottomT","mean",NA
2005,"January","BottomT","sd",NA
2006,"January","BottomT","mean",NA
2006,"January","BottomT","sd",NA
2007,"January","BottomT","mean",NA
2007,"January","BottomT","sd",NA
2008,"January","BottomT","mean",NA
2008,"January","BottomT","sd",NA
2009,"January","BottomT","mean",NA
2009,"January","BottomT","sd",NA
2010,"January","BottomT","mean",NA
2010,"January","BottomT","sd",NA
2011,"January","BottomT","mean",NA
2011,"January","BottomT","sd",NA
2012,"January","BottomT","mean",NA
2012,"January","BottomT","sd",NA
2013,"January","BottomT","mean",NA
2013,"January","BottomT","sd",NA
2014,"January","BottomT","mean",NA
2014,"January","BottomT","sd",NA
2015,"January","BottomT","mean",NA
2015,"January","BottomT","sd",NA
2016,"January","BottomT","mean",NA
2016,"January","BottomT","sd",NA
2017,"January","BottomT","mean",NA
2017,"January","BottomT","sd",NA
2018,"January","BottomT","mean",NA
2018,"January","BottomT","sd",NA
2019,"January","BottomT","mean",NA
2019,"January","BottomT","sd",NA
2020,"January","BottomT","mean",NA
2020,"January","BottomT","sd",NA
2021,"January","BottomT","mean",NA
2021,"January","BottomT","sd",NA
2022,"January","BottomT","mean",NA
2022,"January","BottomT","sd",NA
2023,"January","BottomT","mean",NA
2023,"January","BottomT","sd",NA
